registration_date,count
2023-08-21/2023-08-27,3
2023-08-28/2023-09-03,753
2023-09-04/2023-09-10,2864
2023-09-11/2023-09-17,1341
2023-09-18/2023-09-24,871
2023-09-25/2023-10-01,555
2023-10-02/2023-10-08,409
2023-10-09/2023-10-15,230
2023-10-16/2023-10-22,228
2023-10-23/2023-10-29,80
2023-10-30/2023-11-05,228
2023-11-06/2023-11-12,235
2023-11-13/2023-11-19,174
2023-11-20/2023-11-26,143
2023-11-27/2023-12-03,109
2023-12-04/2023-12-10,110
2023-12-11/2023-12-17,104
2023-12-18/2023-12-24,13
2023-12-25/2023-12-31,1
